ROWNUM;DATUM;W_NUM;MNTH;QTR;VOL;24_H;24_L;ON_H;ON_L;RTH_O;RTH_C;RTH_H;RTH_L;IB_H;IB_L;ON_RNG;RTH_RNG;IB_RNG;OOR_H;OOR_L;OOR;RTHbgrON;RTH_C_UP;23_UPorDO;23_UP;23_DOWN;Open_nad_pC;rthO_nad_ON_mid;IBH_broke;C_nad_IBH;C_nad_ONH
19;10.03.2005;41;10;4;648 787;1158;1149;1 155.75;1 153.25;1 154.25;1 150.75;1 158.25;1 149.00;1 158.25;1 151.50;2.5;9.25;6.75;0;0;0;1;0;1;1;1;0;0;0;0;0
20;10.04.2005;41;10;4;942 816;1155;1136;1 153.50;1 149.00;1 152.75;1 136.00;1 154.75;1 135.75;1 154.75;1 149.25;4.5;19;5.5;0;0;0;1;0;1;0;1;1;1;0;0;0
21;10.05.2005;41;10;4;1 355 090;1138;1119;1 137.75;1 134.75;1 137.00;1 119.75;1 137.25;1 119.25;1 137.25;1 130.50;3;18;6.75;0;0;0;1;0;1;0;1;1;1;0;0;0
22;10.06.2005;41;10;4;1 507 692;1126;1105;1 124.25;1 118.00;1 121.25;1 116.00;1 126.25;1 105.00;1 124.00;1 118.75;6.25;21.25;5.25;0;0;0;1;0;1;1;1;1;1;1;0;0
23;10.07.2005;41;10;4;756 681;1124;1114;1 121.25;1 114.25;1 120.50;1 119.50;1 124.00;1 114.75;1 124.00;1 116.50;7;9.25;7.5;0;0;0;1;0;1;0;1;1;1;0;0;0
24;10.10.2005;42;10;4;753 526;1124;1109;1 123.75;1 118.50;1 120.50;1 109.25;1 120.50;1 108.75;1 120.50;1 111.75;5.25;11.75;8.75;0;0;0;1;0;1;0;1;1;0;0;0;0
25;10.11.2005;42;10;4;898 673;1117;1106;1 114.75;1 109.25;1 113.25;1 107.50;1 117.25;1 106.25;1 117.25;1 112.50;5.5;11;4.75;0;0;0;1;0;1;1;1;1;1;0;0;0
26;10.12.2005;42;10;4;1 316 576;1114;1097;1 108.75;1 104.00;1 106.50;1 098.00;1 114.25;1 096.50;1 114.25;1 106.25;4.75;17.75;8;0;0;0;1;0;1;1;1;0;1;0;0;0
